,long,lat,year,TimePeriod,RCP,scenario,treecanopy_percent,Ann_Herb_percent,Bare_percent,Herb_percent,Litter_percent,Shrub_percent,DrySoilDays_Summer_whole,Evap_Summer,ExtremeShortTermDryStress_Summer_whole,FrostDays_Winter,NonDrySWA_Summer_whole,PPT_Winter,PPT_Summer,T_Winter,T_Summer,Tmax_Summer,Tmin_Winter,VWC_Winter_whole,VWC_Spring_whole,VWC_Summer_whole,VWC_Fall_whole
91,-110.047,37.604,2022,NT,4.5,sc27,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.042,36.451,72.0,0.105,2.72,6.89,0.902,24.782,37.29,-20.0,0.064,0.048,0.044,0.051
92,-110.047,37.604,2022,NT,4.5,sc26,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.1,35.367,89.0,0.133,4.17,8.64,-3.654,22.752,37.81,-29.67,0.044,0.054,0.045,0.047
93,-110.047,37.604,2022,NT,4.5,sc25,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.519,37.309,80.0,0.014,10.58,4.15,0.264,24.763,38.57,-12.94,0.1,0.097,0.041,0.048
94,-110.047,37.604,2022,NT,4.5,sc24,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.389,36.306,60.0,0.055,6.49,7.43,2.367,24.922,38.31,-8.04,0.132,0.08,0.043,0.076
95,-110.047,37.604,2022,NT,4.5,sc23,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.951,36.685,65.0,0.001,17.4,4.83,1.933,24.462,38.18,-11.86,0.139,0.085,0.042,0.103
96,-110.047,37.604,2022,NT,4.5,sc22,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.812,36.77,76.0,0.017,1.95,4.79,2.071,25.174,37.84,-7.93,0.064,0.06,0.041,0.046
97,-110.047,37.604,2022,NT,4.5,sc30,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.228,36.794,71.0,0.099,4.77,8.87,1.677,24.628,38.8,-11.78,0.054,0.064,0.044,0.061
98,-110.047,37.604,2022,NT,4.5,sc41,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.178,37.879,79.0,0.003,5.76,3.52,-0.929,25.863,39.3,-27.72,0.067,0.054,0.041,0.043
99,-110.047,37.604,2022,NT,8.5,sc43,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.095,37.032,61.0,0.115,7.85,10.76,2.369,23.84,37.74,-8.15,0.108,0.092,0.044,0.079
100,-110.047,37.604,2022,NT,8.5,sc60,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.136,35.926,81.0,0.078,7.2,7.95,-0.498,24.337,36.83,-15.34,0.135,0.094,0.044,0.054
101,-110.047,37.604,2022,NT,8.5,sc59,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.79,37.059,80.0,0.206,8.56,9.95,-0.413,24.064,37.92,-19.04,0.13,0.082,0.046,0.063
102,-110.047,37.604,2022,NT,8.5,sc58,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.316,40.915,56.0,0.019,4.95,4.3,2.539,26.399,42.86,-12.05,0.096,0.083,0.042,0.047
103,-110.047,37.604,2022,NT,8.5,sc57,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.046,39.292,50.0,0.013,1.76,3.6,4.985,26.28,41.26,-6.65,0.045,0.067,0.042,0.101
104,-110.047,37.604,2022,NT,8.5,sc56,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.688,37.248,81.0,0.035,4.77,3.59,0.438,23.924,38.07,-14.69,0.08,0.06,0.042,0.067
105,-110.047,37.604,2022,NT,8.5,sc55,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.523,35.88,56.0,0.257,6.22,8.94,3.738,24.01,37.94,-8.02,0.108,0.1,0.047,0.058
106,-110.047,37.604,2022,NT,8.5,sc54,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.829,36.851,72.0,0.332,10.02,8.4,2.44,25.259,37.58,-9.89,0.111,0.083,0.048,0.044
107,-110.047,37.604,2022,NT,8.5,sc42,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.921,36.707,72.0,0.001,10.8,4.55,0.99,23.958,38.03,-12.98,0.123,0.091,0.042,0.06
108,-110.047,37.604,2022,NT,8.5,sc53,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.367,36.059,80.0,0.0,2.24,3.36,0.701,23.738,36.71,-11.16,0.084,0.051,0.041,0.093
109,-110.047,37.604,2022,NT,8.5,sc51,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.818,38.395,65.0,0.219,6.83,7.7,0.863,25.342,39.04,-17.57,0.108,0.091,0.046,0.112
110,-110.047,37.604,2022,NT,8.5,sc50,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.638,32.844,74.0,0.146,7.24,12.5,0.359,21.068,33.99,-12.75,0.106,0.094,0.045,0.066
111,-110.047,37.604,2022,NT,8.5,sc49,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.939,36.66,62.0,0.0,4.62,2.45,2.77,24.547,37.73,-9.54,0.085,0.092,0.041,0.07
112,-110.047,37.604,2022,NT,8.5,sc48,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.322,38.609,84.0,0.146,2.14,9.5,1.291,26.132,40.14,-13.12,0.108,0.058,0.045,0.044
113,-110.047,37.604,2022,NT,8.5,sc47,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.123,37.318,72.0,0.176,14.76,5.57,0.421,23.594,39.71,-12.04,0.124,0.08,0.045,0.049
114,-110.047,37.604,2022,NT,8.5,sc46,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.343,39.096,77.0,0.0,4.43,1.79,3.109,26.367,39.84,-7.58,0.06,0.046,0.041,0.05
115,-110.047,37.604,2022,NT,8.5,sc45,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.72,38.338,63.0,0.039,1.85,6.83,2.708,25.467,39.66,-8.65,0.108,0.085,0.042,0.059
116,-110.047,37.604,2022,NT,8.5,sc44,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.97,37.094,64.0,0.112,6.22,7.42,2.404,24.699,38.54,-15.4,0.116,0.074,0.044,0.05
117,-110.047,37.604,2022,NT,8.5,sc52,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.156,37.903,61.0,0.008,3.36,3.22,4.105,24.838,39.51,-8.22,0.088,0.064,0.042,0.042
118,-110.047,37.604,2022,NT,8.5,sc61,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.801,37.913,79.0,0.014,6.68,3.44,1.232,24.835,38.8,-12.0,0.135,0.079,0.042,0.061
119,-110.047,37.604,2023,NT,8.5,sc54,0.0,0.0,78.505,4.673,10.28,0.0,0.0,0.95,36.78,76.0,0.0,8.51,0.98,1.248,25.291,37.86,-10.81,0.087,0.093,0.041,0.054
120,-110.047,37.604,2023,NT,8.5,sc53,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.13,36.682,68.0,0.18,10.42,11.28,2.043,24.028,38.32,-9.76,0.135,0.097,0.046,0.044
121,-110.047,37.604,2023,NT,8.5,sc47,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.501,35.206,62.0,0.129,13.96,9.9,2.486,24.685,35.86,-16.73,0.1,0.076,0.045,0.073
